data_pair,seed,transfer,raw
log_REP_GDSC,0,0.7238077730286694,0.49693489113585537
log_REP_GDSC,1,0.709801147112093,0.5141592746252286
log_REP_GDSC,2,0.7611305951248846,0.5205036171940657
log_REP_GDSC,3,0.6918118437669688,0.4918111681477396
log_REP_GDSC,4,0.7583046565154045,0.5268255185153171
log_REP_GDSC,5,0.7990848844535628,0.5091095051437846
log_REP_GDSC,6,0.7794940870789983,0.5347722519870048
log_REP_GDSC,7,0.717278863542103,0.4979149590907331
log_REP_GDSC,8,0.7456975802801286,0.5297831956164313
log_REP_GDSC,9,0.741583680770197,0.5050765550183842
log_REP_CTD2,0,0.7148348254863047,0.4948723214895741
log_REP_CTD2,1,0.703199656864073,0.5105396782153475
log_REP_CTD2,2,0.7233989717152798,0.5204977127142054
log_REP_CTD2,3,0.7010769381734248,0.532079899212414
log_REP_CTD2,4,0.6843518031657325,0.5171060866372472
log_REP_CTD2,5,0.6959462841161974,0.47144847488164565
log_REP_CTD2,6,0.7238846860443383,0.5122880306460325
log_REP_CTD2,7,0.6763418460606384,0.4476841555069003
log_REP_CTD2,8,0.7278725938416699,0.5323881130097554
log_REP_CTD2,9,0.7231786999014974,0.4932647849795527
log_GDSC_CTD2,0,0.6559877229741199,0.49336273076984893
log_GDSC_CTD2,1,0.6840117818374316,0.4753947665353669
log_GDSC_CTD2,2,0.6782472752724098,0.4773398696698421
log_GDSC_CTD2,3,0.6413409303217261,0.4710146135304416
log_GDSC_CTD2,4,0.6609323317337722,0.5103380732781494
log_GDSC_CTD2,5,0.7075157731842496,0.527059219652725
log_GDSC_CTD2,6,0.7082950181984592,0.5078167086895717
log_GDSC_CTD2,7,0.647400036328118,0.46766526511687956
log_GDSC_CTD2,8,0.7139026890774571,0.5118161735412285
log_GDSC_CTD2,9,0.6400282349904904,0.4847527096451679
log_GDSC_REP,0,0.8156226540287916,0.49693489113585526
log_GDSC_REP,1,0.8482916172277599,0.5141592746252287
log_GDSC_REP,2,0.8366458687872461,0.5205036171940657
log_GDSC_REP,3,0.8263104785789767,0.49181116814773934
log_GDSC_REP,4,0.8633310255527279,0.5268255185153172
log_GDSC_REP,5,0.8395815096160956,0.5091095051437845
log_GDSC_REP,6,0.8566383402624488,0.5347722519870046
log_GDSC_REP,7,0.8270041615272632,0.4979149590907332
log_GDSC_REP,8,0.8277067604425354,0.5297831956164314
log_GDSC_REP,9,0.8584359445335469,0.5050765550183843
log_CTD2_REP,0,0.8348911916590813,0.4948723214895738
log_CTD2_REP,1,0.8667641599243445,0.5105396782153475
log_CTD2_REP,2,0.8424487261681076,0.5204977127142053
log_CTD2_REP,3,0.8393851703800336,0.5320798992124137
log_CTD2_REP,4,0.8500746410604321,0.5171060866372472
log_CTD2_REP,5,0.8454133090329871,0.4714484748816457
log_CTD2_REP,6,0.8415104340562555,0.5122880306460325
log_CTD2_REP,7,0.845036033752867,0.4476841555069004
log_CTD2_REP,8,0.8490762324357254,0.5323881130097553
log_CTD2_REP,9,0.870178668805656,0.4932647849795527
log_CTD2_GDSC,0,0.7455018231283382,0.49336273076984893
log_CTD2_GDSC,1,0.7154539230754136,0.4753947665353669
log_CTD2_GDSC,2,0.7337813958071217,0.4773398696698421
log_CTD2_GDSC,3,0.6764711222716677,0.4710146135304416
log_CTD2_GDSC,4,0.7343042558320354,0.5103380732781494
log_CTD2_GDSC,5,0.7508619143176467,0.527059219652725
log_CTD2_GDSC,6,0.7829144976075436,0.5078167086895717
log_CTD2_GDSC,7,0.7825562139371998,0.46766526511687956
log_CTD2_GDSC,8,0.7587861531746691,0.5118161735412284
log_CTD2_GDSC,9,0.7447824471461757,0.4847527096451679
