seed,transfer_pearson,transfer_spearman,raw_pearson,raw_spearman,dataset
0,-0.07176454819315174,0.0,0.43797614459619694,0.4761904761904762,pdo_to_pdx
1,-0.26443089765346106,-0.30952380952380953,0.06881173374009679,0.1395202295937563,pdo_to_pdx
2,-0.3934753216275302,-0.07142857142857144,0.8576787641136516,0.8024095954818835,pdo_to_pdx
3,0.35513665242710907,0.20920685218893076,-0.050171351193919425,-0.13025210084033614,pdo_to_pdx
4,0.5935206403651279,0.7227145938617754,-0.3053213254448584,-0.26496694323115116,pdo_to_pdx
5,-0.4175867991974758,-0.35983578576496095,0.006004750495816723,0.2605042016806723,pdo_to_pdx
6,-0.1097160557817306,0.0,0.00965183199678506,-0.049999999999999996,pdo_to_pdx
7,0.3806209456252866,0.36820405985251814,0.06191467418124696,0.0,pdo_to_pdx
8,0.5226076410583576,0.5714285714285715,0.4257426020104393,0.4047619047619048,pdo_to_pdx
9,-0.04859989066537621,-0.18333333333333335,-0.11714750848481409,-0.04184137043778616,pdo_to_pdx
10,-0.21418705835847968,-0.3765723339400754,-0.1338080341989411,-0.1957606330238562,pdo_to_pdx
11,0.44201179168704813,0.2380952380952381,0.3790071175578176,0.6107893935757621,pdo_to_pdx
12,-0.27024180045001595,-0.6272087408492496,-0.0348566493347657,-0.11866111313364182,pdo_to_pdx
13,-0.6736159787500852,-0.7185757571479554,0.2866993107165497,0.17225778657056642,pdo_to_pdx
14,0.6708508758049484,0.6359888306543495,0.3640286067749714,0.401677156202747,pdo_to_pdx
15,0.25962191343591984,0.19999999999999998,-0.07601965251468888,0.16951587590520262,pdo_to_pdx
16,0.347959177370677,0.1680731613632036,-0.7233393114424891,-0.7899438584070568,pdo_to_pdx
17,0.5297222652253004,0.2761530448893886,-0.2024159666776438,0.23431167445160245,pdo_to_pdx
